GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
korber-challenge,be.com.arcasoftwares.service,MachineService,0,67,0,0,0,14,0,6,0,6
korber-challenge,be.com.arcasoftwares.service,ParameterService,0,217,0,4,0,49,0,16,0,14
korber-challenge,be.com.arcasoftwares.repository,ParameterRepository,0,43,0,0,0,10,0,6,0,6
korber-challenge,be.com.arcasoftwares.repository,MachineRepository,0,39,0,0,0,8,0,5,0,5
korber-challenge,be.com.arcasoftwares.model,ParameterProperty,0,58,0,8,0,11,0,9,0,5
korber-challenge,be.com.arcasoftwares.model,ParameterModel,0,99,0,8,0,23,0,12,0,8
korber-challenge,be.com.arcasoftwares.model,ParameterModelDTO,0,95,0,8,0,21,0,12,0,8
korber-challenge,be.com.arcasoftwares.model,MachineModel,0,43,0,4,0,11,0,7,0,5
korber-challenge,be.com.arcasoftwares.controller,MachineController,0,15,0,0,0,5,0,3,0,3
korber-challenge,be.com.arcasoftwares.controller,ParameterController,0,40,0,0,0,9,0,5,0,5
korber-challenge,be.com.arcasoftwares,ChallengeApplication,0,43,0,0,0,13,0,6,0,6
korber-challenge,be.com.arcasoftwares.exception,CsvParseException,0,5,0,0,0,2,0,1,0,1
